,Total Views,Away Team,Home Team,Date,Month,All Star,Wins,Win Difference,Guess,MAPE
21600001,57691,NYK,CLE,10/25/2016,10,4,0,0,58300.2361097763,0.010560331936979748
21600003,60428,SAS,GSW,10/25/2016,10,5,0,0,63514.05045338576,0.05106987577589462
21600002,40740,UTA,POR,10/25/2016,10,1,0,0,18522.13686289483,0.5453574653192236
21600006,23947,BKN,BOS,10/26/2016,10,1,0,0,27473.943348109173,0.14728121886287104
21600008,12046,CHA,MIL,10/26/2016,10,2,0,0,19331.867203749513,0.6048370582558121
21600005,33922,DAL,IND,10/26/2016,10,1,0,0,15726.4099681821,0.5363949658574936
21600007,14887,DET,TOR,10/26/2016,10,2,0,0,20484.099810934742,0.37597231214715804
21600013,34087,HOU,LAL,10/26/2016,10,1,0,0,39902.15118736697,0.17059732998993674
21600004,22756,MIA,ORL,10/26/2016,10,0,0,0,16590.02050605868,0.2709606035305554
21600009,21853,MIN,MEM,10/26/2016,10,1,0,0,17588.274122177074,0.19515516761190346
21600011,42455,OKC,PHI,10/26/2016,10,1,0,0,47218.70419970968,0.1122059639550037
21600012,14435,SAC,PHX,10/26/2016,10,1,0,0,13909.278016641136,0.03641995035392201
21600015,50539,BOS,CHI,10/27/2016,10,2,1,1,34635.343330465796,0.3146808735735611
21600017,29674,LAC,POR,10/27/2016,10,1,1,1,22415.744494050254,0.24459983507278243
21600016,27634,SAS,SAC,10/27/2016,10,2,2,0,22479.851998515915,0.1865147282870408
21600014,27848,WAS,ATL,10/27/2016,10,2,0,0,18372.749574670434,0.34024886617816597
21600022,12886,CHA,MIA,10/28/2016,10,1,2,0,17765.400911681645,0.37865908052783215
21600018,48951,CLE,TOR,10/28/2016,10,5,2,0,54218.12479873336,0.10759994277406719
21600025,46471,GSW,NOP,10/28/2016,10,5,0,0,49176.654809176354,0.05822243569487109
21600019,23043,IND,BKN,10/28/2016,10,1,1,1,16171.05951362814,0.2982224747807082
21600024,25043,LAL,UTA,10/28/2016,10,1,1,1,26087.155734201508,0.04169451480259983
21600020,10691,ORL,DET,10/28/2016,10,0,0,0,15056.350843891882,0.40832016124701914
21600021,37236,PHX,OKC,10/28/2016,10,1,1,1,29331.923263522764,0.2122697587409291
21600031,21567,BKN,MIL,10/29/2016,10,1,1,1,18863.141973013535,0.12537015008978833
21600030,22190,IND,CHI,10/29/2016,10,2,2,0,20386.23255407028,0.08128740179944657
21600028,32002,MEM,NYK,10/29/2016,10,2,1,1,18794.072729879128,0.4127219320705228
21600034,22179,MIN,SAC,10/29/2016,10,1,1,1,19215.343162375928,0.13362445726245872
21600032,23391,NOP,SAS,10/29/2016,10,2,2,2,27984.645854373128,0.19638518465961813
21600029,31859,ORL,CLE,10/29/2016,10,3,2,2,39851.74435792759,0.2508786954370066
21600033,27076,POR,DEN,10/29/2016,10,0,2,0,17923.92745101886,0.3380142025772323
21600041,24543,DAL,HOU,10/30/2016,10,1,1,1,23154.9975545722,0.056553903167004815
21600036,50617,GSW,PHX,10/30/2016,10,4,1,1,39298.95026788601,0.2236017490588931
21600040,36658,LAL,OKC,10/30/2016,10,1,3,1,51828.63902238704,0.41384251793297616
21600038,12556,MIL,DET,10/30/2016,10,1,2,0,19291.94450285366,0.5364721649294092
21600037,32314,SAS,MIA,10/30/2016,10,1,4,2,26571.588983286096,0.1777065982767192
21600035,28903,UTA,LAC,10/30/2016,10,2,2,0,19063.56364762638,0.3404295869762177
21600039,14195,WAS,MEM,10/30/2016,10,2,1,1,16040.13872766553,0.12998511642589147
21600043,33346,CHI,BKN,10/31/2016,10,1,3,1,19392.088052033505,0.41845834426817297
21600042,24322,DEN,TOR,10/31/2016,10,2,2,0,19613.494066827374,0.19359040922508947
21600045,22836,PHX,LAC,10/31/2016,10,1,2,2,17867.325320651176,0.21758077944249535
21600044,23520,SAC,ATL,10/31/2016,10,2,4,0,14658.76456125914,0.37675320742945834
21600054,37632,GSW,POR,11/1/2016,11,4,4,0,36010.49005253206,0.04308859341698388
